TABLE_NAME|COLUMN_NAME
Payment|TimeCreated
Payment|CreatedBy
PaymentTypes|PaymentTypes_DPA_
PaymentTypes|Description
PaymentTypes|Reference
PayType|PayType_DPA_
PayType|PayType_EIT_
PayType|PayTypeDescription
PayType|PayTypeIn
Security|Security_DPA_
Security|Security_EIT_
Security|SecurityAddr
Security|SecurityCode
Security|SecurityMktPrice
Security|SecurityName
Security|OrderSecType_DPA_
Security|Immobilised
Security|Sector_DPA_
Security|ImportCode
Security|CanTrade
Security|IsOffering
Security|NSEName
Security|ExpiryDate
Security|Offerings
Security|BankAccount_DPA_
Security|ClosingDate
Security|OfferType_DPA_
Security|TimeModified
Security|ModifiedBy
Security|ParentSecurity_DPA_
Security|BatchSize
Security|RequiresExtra
Security|DefaultSelection
Security|Ratio
Security|MinimumQty
Security|StepQty
Security|RequiresHoldings
tbOrder|Branch_DPA_
tbOrder|Client_DPA_
tbOrder|Order_DPA_
tbOrder|Order_EIT_
tbOrder|OrderDate
tbOrder|OrderHold
tbOrder|OrderRef
tbOrder|OrderSecType_DPA_
tbOrder|OrderType_DPA_
tbOrder|OrderCanceled
tbOrder|OrderHoldType_DPA_
tbOrder|OrderAutoReleaseDate
tbOrder|OrderCompounded
tbOrder|OrderReleasedBy
tbOrder|OrderDateReleased
tbOrder|Deleted
tbOrder|InterBank
tbOrder|ChangedBy
tbOrder|TimeChanged
tbOrder|Proposal_DPA_
tbOrder|IsCustodian
tbOrder|Agent_DPA_
tbOrder|PartialAmount
tbOrder|PayOption
tbOrder|ToPay
tbOrder|PT
tbOrder|Remarks
tbOrder|AgentReturnable
tbOrder|TimeCreated
tbOrder|CreatedBy

(315 rows affected)
